Product_Key,Date_Key,Units_Sold,MA_7d,MA_30d,OOS_Risk
1,1,12.0,12.0,12.0,False
1,2,7.0,9.5,9.5,False
1,17,11.0,10.0,10.0,False
1,20,3.0,8.25,8.25,False
1,28,13.0,9.2,9.2,False
1,41,2.0,8.0,8.0,False
1,69,8.0,8.0,8.0,False
1,74,8.0,7.428571428571429,8.0,False
1,76,9.0,7.714285714285714,8.11111111111111,False
1,77,13.0,8.0,8.6,False
1,81,4.0,8.142857142857142,8.181818181818182,False
1,83,9.0,7.571428571428571,8.25,False
1,95,0.0,7.285714285714286,7.615384615384615,False
1,100,15.0,8.285714285714286,8.142857142857142,False
1,115,14.0,9.142857142857142,8.533333333333333,False
1,120,3.0,8.285714285714286,8.1875,False
1,129,7.0,7.428571428571429,8.117647058823529,False
1,132,8.0,8.0,8.11111111111111,False
1,147,7.0,7.714285714285714,8.052631578947368,False
1,155,7.0,8.714285714285714,8.0,False
1,179,3.0,7.0,7.761904761904762,False
1,188,0.0,5.0,7.409090909090909,False
1,195,4.0,5.142857142857143,7.260869565217392,False
1,197,4.0,4.714285714285714,7.125,False
1,217,1.0,3.7142857142857144,6.88,False
1,225,2.0,3.0,6.6923076923076925,False
1,232,0.0,2.0,6.444444444444445,False
1,244,13.0,3.4285714285714284,6.678571428571429,False
1,246,15.0,5.571428571428571,6.9655172413793105,False
1,247,12.0,6.714285714285714,7.133333333333334,False
1,263,0.0,6.142857142857143,6.733333333333333,False
1,285,10.0,7.428571428571429,6.833333333333333,False
1,290,2.0,7.428571428571429,6.533333333333333,False
1,296,11.0,9.0,6.8,True
1,301,1.0,7.285714285714286,6.4,False
1,303,6.0,6.0,6.533333333333333,False
1,308,14.0,6.285714285714286,6.733333333333333,False
1,309,14.0,8.285714285714286,6.933333333333334,False
1,311,9.0,8.142857142857142,6.933333333333334,False
1,317,10.0,9.285714285714286,6.833333333333333,True
1,318,1.0,7.857142857142857,6.733333333333333,False
1,322,2.0,8.0,6.5,False
1,324,16.0,9.428571428571429,7.033333333333333,True
1,341,3.0,7.857142857142857,6.633333333333334,False
1,342,14.0,7.857142857142857,6.633333333333334,False
1,345,9.0,7.857142857142857,6.833333333333333,False
1,350,7.0,7.428571428571429,6.833333333333333,False
1,357,0.0,7.285714285714286,6.566666666666666,False
1,359,9.0,8.285714285714286,6.633333333333334,False
1,362,15.0,8.142857142857142,6.9,False
1,371,12.0,9.428571428571429,7.2,True
1,376,11.0,9.0,7.566666666666666,False
1,385,1.0,7.857142857142857,7.466666666666667,False
1,389,14.0,8.857142857142858,7.8,False
1,391,2.0,9.142857142857142,7.833333333333333,False
1,406,3.0,8.285714285714286,7.866666666666666,False
1,412,3.0,6.571428571428571,7.966666666666667,False
1,419,12.0,6.571428571428571,7.933333333333334,False
1,420,14.0,7.0,7.9,False
1,422,21.0,9.857142857142858,8.2,False
1,440,8.0,9.0,8.466666666666667,False
1,444,3.0,9.142857142857142,8.233333333333333,False
1,452,4.0,9.285714285714286,8.3,False
1,480,14.0,10.857142857142858,8.4,False
1,490,9.0,10.428571428571429,8.666666666666666,False
1,513,22.0,11.571428571428571,9.2,False
1,518,7.0,9.571428571428571,8.966666666666667,False
1,533,11.0,10.0,8.866666666666667,False
1,545,1.0,9.714285714285714,8.6,False
1,547,9.0,10.428571428571429,8.566666666666666,False
1,564,12.0,10.142857142857142,8.933333333333334,False
1,566,14.0,10.857142857142858,9.333333333333334,False
1,571,1.0,7.857142857142857,8.833333333333334,False
1,576,1.0,7.0,8.766666666666667,False
1,583,12.0,7.142857142857143,8.7,False
1,590,2.0,7.285714285714286,8.466666666666667,False
1,593,12.0,7.714285714285714,8.633333333333333,False
1,613,11.0,7.571428571428571,9.0,False
1,616,13.0,7.428571428571429,9.133333333333333,False
