Customer_Key,Total_Revenue,Order_Count,Avg_Order,Feedback,CLV_EUR,CAC_EUR,Quadrant
1,5165.39,5,1291.3475,3.0,5165.39,18.5,Optimize
2,15066.689999999999,5,3013.3379999999997,2.4,15066.689999999999,18.5,Star
3,4393.6,3,1464.5333333333335,2.0,4393.6,18.5,Optimize
4,5924.6,7,987.4333333333334,3.2857142857142856,5924.6,18.5,Optimize
5,3476.68,3,1158.8933333333332,1.6666666666666667,3476.68,18.5,Optimize
6,14943.59,6,2490.5983333333334,3.6666666666666665,14943.59,18.5,Star
7,12886.970000000001,6,4295.656666666667,3.5,12886.970000000001,18.5,Star
8,7458.2,6,1243.0333333333333,2.8333333333333335,7458.2,18.5,Optimize
9,14469.82,6,2411.6366666666668,3.0,14469.82,18.5,Star
10,9746.64,5,1949.328,2.2,9746.64,18.5,Star
11,1325.47,2,662.735,4.0,1325.47,18.5,Optimize
12,16226.68,8,3245.3360000000002,2.875,16226.68,18.5,Star
13,16215.84,5,3243.168,2.4,16215.84,18.5,Star
14,10817.24,9,1802.8733333333332,3.0,10817.24,18.5,Star
15,10823.94,6,2164.788,3.6666666666666665,10823.94,18.5,Star
16,17551.08,10,1950.1200000000001,3.4,17551.08,18.5,Star
17,10044.2,5,2008.8400000000001,3.0,10044.2,18.5,Star
18,17418.579999999998,9,2488.368571428571,2.5555555555555554,17418.579999999998,18.5,Star
19,5057.53,6,842.9216666666666,3.5,5057.53,18.5,Optimize
20,14240.550000000001,5,2848.11,2.6,14240.550000000001,18.5,Star
21,6976.85,4,1744.2125,3.75,6976.85,18.5,Optimize
22,8371.74,7,1395.29,3.7142857142857144,8371.74,18.5,Optimize
23,17583.17,8,2197.89625,2.375,17583.17,18.5,Star
24,16716.15,11,1857.3500000000001,3.090909090909091,16716.15,18.5,Star
25,7868.86,4,1967.215,3.0,7868.86,18.5,Optimize
26,27468.01,11,2497.091818181818,3.1818181818181817,27468.01,18.5,Star
27,4807.7,2,2403.85,3.0,4807.7,18.5,Optimize
28,7869.33,7,1124.19,2.2857142857142856,7869.33,18.5,Optimize
29,30147.74,11,3349.7488888888893,3.3636363636363638,30147.74,18.5,Star
30,16279.59,8,2325.655714285714,2.5,16279.59,18.5,Star
31,1867.83,3,933.915,2.6666666666666665,1867.83,18.5,Optimize
32,12130.76,3,4043.5866666666666,3.3333333333333335,12130.76,18.5,Star
33,15371.2,8,2561.866666666667,2.375,15371.2,18.5,Star
34,18107.08,7,2586.7257142857147,2.857142857142857,18107.08,18.5,Star
35,16700.62,6,2783.4366666666665,2.8333333333333335,16700.62,18.5,Star
36,11447.32,7,1635.3314285714284,3.0,11447.32,18.5,Star
37,4071.29,4,1357.0966666666666,2.25,4071.29,18.5,Optimize
38,8348.64,3,4174.32,4.0,8348.64,18.5,Optimize
39,17266.04,8,2158.255,3.5,17266.04,18.5,Star
40,10152.060000000001,4,2538.0150000000003,4.25,10152.060000000001,18.5,Star
41,4069.02,4,1017.255,2.75,4069.02,18.5,Optimize
42,22913.07,7,3273.2957142857144,2.5714285714285716,22913.07,18.5,Star
43,22089.78,8,2761.2225,3.25,22089.78,18.5,Star
44,16308.73,7,2329.8185714285714,2.857142857142857,16308.73,18.5,Star
45,6714.98,6,1119.1633333333332,3.8333333333333335,6714.98,18.5,Optimize
46,16913.63,10,1691.363,3.7,16913.63,18.5,Star
47,21193.46,9,2649.1825,3.2222222222222223,21193.46,18.5,Star
48,12924.5,8,1846.357142857143,4.125,12924.5,18.5,Star
49,6454.62,2,3227.31,3.5,6454.62,18.5,Optimize
